label,structure,operation,count,mean_ns,p50_ns,p99_ns,total_seconds,final_size,final_height,rotations_left,rotations_right
scale_n100_r1,avl,I,75,19538.666666666668,9500,568100,0.0014654,9,4,20,23
scale_n100_r1,avl,D,70,7288.571428571428,6500,46300,0.0005102,9,4,20,23
scale_n100_r1,avl,S,55,2090.909090909091,1900,7700,0.000115,9,4,20,23
scale_n100_r1,avl,RANK,55,1558.1818181818182,1500,5500,8.57e-05,9,4,20,23
scale_n100_r1,avl,SELECT,55,1956.3636363636363,1900,3800,0.0001076,9,4,20,23
scale_n100_r1,avl,RANGE,55,4716.363636363636,3100,83300,0.0002594,9,4,20,23
scale_n100_r1,avl,ALL,365,6967.945205479452,2500,71000,0.0025433,9,4,20,23
scale_n100_r1,bst,I,75,2260.0,1900,22900,0.0001695,9,4,0,0
scale_n100_r1,bst,D,70,2741.4285714285716,2200,40400,0.0001919,9,4,0,0
scale_n100_r1,bst,S,55,2667.2727272727275,2200,21400,0.0001467,9,4,0,0
scale_n100_r1,bst,RANK,55,3712.7272727272725,3300,8700,0.0002042,9,4,0,0
scale_n100_r1,bst,SELECT,55,4536.363636363636,4300,16400,0.0002495,9,4,0,0
scale_n100_r1,bst,RANGE,55,5014.545454545455,4600,9400,0.0002758,9,4,0,0
scale_n100_r1,bst,ALL,365,3390.6849315068494,2400,16400,0.0012376,9,4,0,0
scale_n100_r2,avl,I,75,32509.333333333332,10300,1628000,0.0024382,9,4,20,23
scale_n100_r2,avl,D,70,8135.714285714285,7200,47200,0.0005695,9,4,20,23
scale_n100_r2,avl,S,55,2707.2727272727275,2200,16200,0.0001489,9,4,20,23
scale_n100_r2,avl,RANK,55,1943.6363636363637,1800,5800,0.0001069,9,4,20,23
scale_n100_r2,avl,SELECT,55,2361.818181818182,2200,4200,0.0001299,9,4,20,23
scale_n100_r2,avl,RANGE,55,4270.909090909091,4000,17200,0.0002349,9,4,20,23
scale_n100_r2,avl,ALL,365,9940.547945205479,3200,26400,0.0036283,9,4,20,23
scale_n100_r2,bst,I,75,1740.0,1700,8500,0.0001305,9,4,0,0
scale_n100_r2,bst,D,70,1925.7142857142858,1800,8100,0.0001348,9,4,0,0
scale_n100_r2,bst,S,55,2001.8181818181818,1800,7100,0.0001101,9,4,0,0
scale_n100_r2,bst,RANK,55,3547.2727272727275,2600,42000,0.0001951,9,4,0,0
scale_n100_r2,bst,SELECT,55,3763.6363636363635,3500,18300,0.000207,9,4,0,0
scale_n100_r2,bst,RANGE,55,4029.090909090909,3600,7300,0.0002216,9,4,0,0
scale_n100_r2,bst,ALL,365,2737.2602739726026,2000,8100,0.0009991,9,4,0,0
scale_n100_r3,avl,I,75,10416.0,9000,37100,0.0007812,9,4,20,23
scale_n100_r3,avl,D,70,11974.285714285714,7800,191600,0.0008382,9,4,20,23
scale_n100_r3,avl,S,55,3650.909090909091,2300,57800,0.0002008,9,4,20,23
scale_n100_r3,avl,RANK,55,1840.0,1700,6100,0.0001012,9,4,20,23
scale_n100_r3,avl,SELECT,55,2289.090909090909,2300,6500,0.0001259,9,4,20,23
scale_n100_r3,avl,RANGE,55,4810.909090909091,3700,58100,0.0002646,9,4,20,23
scale_n100_r3,avl,ALL,365,6333.972602739726,2800,57800,0.0023119,9,4,20,23
scale_n100_r3,bst,I,75,1998.6666666666667,1600,25400,0.0001499,9,4,0,0
scale_n100_r3,bst,D,70,1840.0,1700,5000,0.0001288,9,4,0,0
scale_n100_r3,bst,S,55,2190.909090909091,1900,6700,0.0001205,9,4,0,0
scale_n100_r3,bst,RANK,55,2940.0,2700,6500,0.0001617,9,4,0,0
scale_n100_r3,bst,SELECT,55,3650.909090909091,3800,6800,0.0002008,9,4,0,0
scale_n100_r3,bst,RANGE,55,4069.090909090909,3800,7900,0.0002238,9,4,0,0
scale_n100_r3,bst,ALL,365,2700.0,2100,6800,0.0009855,9,4,0,0
scale_n1000_r1,avl,I,713,31596.49368863955,24800,122900,0.0225283,184,9,349,308
scale_n1000_r1,avl,D,556,30699.460431654676,21200,111900,0.0170689,184,9,349,308
scale_n1000_r1,avl,S,731,4089.603283173735,2900,7100,0.0029895,184,9,349,308
scale_n1000_r1,avl,RANK,500,3558.4,3500,6300,0.0017792,184,9,349,308
scale_n1000_r1,avl,SELECT,500,4453.2,4600,6300,0.0022266,184,9,349,308
scale_n1000_r1,avl,RANGE,500,14991.4,8200,12500,0.0074957,184,9,349,308
scale_n1000_r1,avl,ALL,3500,15453.771428571428,6300,46700,0.0540882,184,9,349,308
scale_n1000_r1,bst,I,713,3329.733520336606,3200,7200,0.0023741,184,14,0,0
scale_n1000_r1,bst,D,556,3933.63309352518,3700,7000,0.0021871,184,14,0,0
scale_n1000_r1,bst,S,731,6702.735978112175,3100,15600,0.0048997,184,14,0,0
scale_n1000_r1,bst,RANK,500,76567.6,61400,534700,0.0382838,184,14,0,0
scale_n1000_r1,bst,SELECT,500,76610.4,51700,889500,0.0383052,184,14,0,0
scale_n1000_r1,bst,RANGE,500,64781.0,52100,434800,0.0323905,184,14,0,0
scale_n1000_r1,bst,ALL,3500,33840.114285714284,4300,277300,0.1184404,184,14,0,0
scale_n1000_r2,avl,I,713,29674.053295932677,24400,121800,0.0211576,184,9,349,308
scale_n1000_r2,avl,D,556,22217.446043165466,20900,75700,0.0123529,184,9,349,308
scale_n1000_r2,avl,S,731,3127.906976744186,2900,6600,0.0022865,184,9,349,308
scale_n1000_r2,avl,RANK,500,3365.2,3200,6100,0.0016826,184,9,349,308
